psp_reference,merchant,card_scheme,year,hour_of_day,minute_of_hour,day_of_year,is_credit,eur_amount,ip_country,issuing_country,device_type,ip_address,email_address,card_number,shopper_interaction,card_bin,has_fraudulent_dispute,is_refused_by_adyen,aci,acquirer_country
20034594130,Crossfit_Hanna,NexPay,2023,16,21,12,False,151.74,SE,SE,Windows,pKPYzJqqwB8TdpY0jiAeQw,0AKXyaTjW7H4m1hOWmOKBQ,uRofX46FuLUrSOTz8AW5UQ,Ecommerce,4802,False,False,F,NL
36926127356,Crossfit_Hanna,NexPay,2023,23,58,75,False,45.7,NL,NL,Linux,uzUknOkIqExYsWv4X14GUg,_Gm8at1k2ojYAM_wSEptNw,6vqQ89zfCeFk6s4VOoWZFQ,Ecommerce,4920,False,False,F,NL
31114608278,Belles_cookbook_store,GlobalCard,2023,4,30,96,False,14.11,NL,NL,MacOS,3VO1v_RndDg6jzEiPjfvoQ,,EmxSN8-GXQw3RG_2v7xKxQ,Ecommerce,4571,False,False,F,US
68442235288,Crossfit_Hanna,NexPay,2023,3,5,77,True,238.42,LU,LU,iOS,3qbuXGoFldniCC6r1X8K0Q,5VW_2O6ku_0p_fLLwuC1vw,wG2VTvj2TfVG-NRDzifMHw,Ecommerce,4017,False,False,D,NL
81404384199,Crossfit_Hanna,NexPay,2023,17,30,83,False,67.13,NL,NL,Windows,9WMJJdgtop6jkkyerxMvuQ,Alb1iUIxIqlW8YUeYVGTzg,0khzuCj7aQ1e51S5vWR8gg,Ecommerce,4532,False,False,F,NL
74453982452,Crossfit_Hanna,SwiftCharge,2023,8,30,55,True,14.96,NL,NL,Linux,lRYNn2teO8RZ_ms_5Ei52Q,YunUeDIiQyoqdiDzRWvx9g,8j9y7A7UdAgWkWGV6ggaFA,Ecommerce,4017,True,False,G,NL
85922945139,Golfclub_Baron_Friso,NexPay,2023,6,17,265,True,57.35,NL,NL,MacOS,r1qwSy2fOfqVm8GIcRwRfg,9cmOlwD4F0ymL7nRQt_3Xg,zux-2rRgzotNdbxKnLpLpw,Ecommerce,4556,False,False,D,IT
50996494424,Golfclub_Baron_Friso,NexPay,2023,20,15,54,True,34.71,SE,SE,MacOS,2nItEMNElHH14wI4yBnByg,53Dph-6X7CqoI_f7NlJa6g,0P4ieP8lxYpSqhABWmwmQg,Ecommerce,4526,False,False,D,IT
21324863343,Crossfit_Hanna,TransactPlus,2023,22,12,5,False,75.42,NL,BE,Linux,,hzw3CbkxazpVg38re7jchQ,4JpiSBmEVdfKrDq2WcSZJQ,Ecommerce,4645,False,False,F,NL
12974611380,Golfclub_Baron_Friso,NexPay,2023,21,0,242,True,13.05,SE,SE,Android,QGKOQYa1ZgWJmvLZkJtheg,RhrGjnIy09oAfASREHh0Rw,kEOtBdNv42532DCUYV4fBA,Ecommerce,4916,False,False,F,IT
11539582857,Belles_cookbook_store,GlobalCard,2023,14,7,77,False,54.94,SE,SE,Android,v4QmydqCskH7TYu-B_KbNg,I2FVI0bgarR2FcTwB-pp3w,X2wgYLwKBQ-tVhTptskgdg,Ecommerce,4556,False,False,F,US
25576144624,Golfclub_Baron_Friso,GlobalCard,2023,12,29,171,True,19.65,IT,NL,iOS,f-5KoLWOkAH3Kq6pdF1bQg,U5clB36PFDRdyj3CeAGiXw,FESypn6U7_vguyTAzCMg3g,Ecommerce,4916,False,False,D,IT
55566636527,Crossfit_Hanna,SwiftCharge,2023,10,35,270,True,117.98,BE,BE,Other,TPOemgnEU-_wcqFO4FzoQA,dVI_mlqijeG6kIRKMnmJTQ,kjoTGeJmmxdPEM9pAEVVVg,Ecommerce,4532,False,False,D,NL
39321493661,Martinis_Fine_Steakhouse,GlobalCard,2023,9,48,42,True,29.47,FR,FR,Linux,0LG7KSVCKOxMGDkgRElCZA,tCUsaB-FqRo7u9PBFRL9OA,Dqk1EsUqVh-mzFQdrg3Wzw,Ecommerce,4916,False,False,D,FR
15954433169,Rafa_AI,GlobalCard,2023,11,15,191,True,18.55,GR,GR,iOS,0HA13IRK16lIfJ6Bn0hMoA,UVzK61GrAYwkA67rVA1qIQ,GiG7AUuWkIWW99N5NqwlZw,Ecommerce,4556,False,False,E,NL
10778285308,Crossfit_Hanna,GlobalCard,2023,11,41,325,False,80.39,IT,IT,Linux,,Y6qCEfNOFvSyWAPWa7V7sA,NpKsb1Zfl3TdtWLLl9oZvg,Ecommerce,4017,False,False,F,NL
39644392406,Golfclub_Baron_Friso,GlobalCard,2023,11,25,297,True,94.48,NL,NL,Windows,ecRJFiZeKTQCnklgt7ldow,sWnZoKQeYuLumRHVaKAwZg,hH6dWt0enDqUFmTDu0wveA,Ecommerce,4571,False,False,D,IT
58125631016,Crossfit_Hanna,GlobalCard,2023,11,20,257,True,97.9,IT,IT,iOS,1konyURtRGWZ1GGjZvgoBw,VUkWDiiw-LWx8EQJN_2aDA,d-ojybFvqhCR5GRbxxUaHg,Ecommerce,4571,False,False,G,NL
16900553593,Belles_cookbook_store,GlobalCard,2023,17,43,24,True,295.37,SE,SE,MacOS,IkTvIq7qVolDLRWc-eo2Jw,j2lcSM-ZDZQH8PAm4VshGA,SjIWwffh8yHVwNWJUTh4OA,Ecommerce,4916,False,False,G,US
64327336902,Rafa_AI,TransactPlus,2023,17,7,113,False,224.39,IT,IT,Android,O0UKtRnZAaj7inLhhZaWog,h7yegJ7AShGeIt1RYjdzhA,qTFj7u69HBVUYrfFETuMRA,Ecommerce,4916,False,False,E,NL
33180657672,Crossfit_Hanna,SwiftCharge,2023,8,52,62,True,28.12,SE,BE,Linux,_ml2eKMWvvR7i1La3ek78A,wWkL7mxJeudAmh7B1NSPsg,2ta19zZL7td3SWu5arCUcw,Ecommerce,4526,False,False,D,NL
